['U', 'W', 'N', 'SW', 'W', 'SW']	Wolałby jednak pozostać w domu i czytać tę książkę, niżeli iść na wieczór do baronowej, gdzie nie znajdzie najpewniej nic nowego, ani szczególnie przyjemnego.
['S', 'S', 'S', 'S', 'L', 'S']	Nadeszła chwila, że tłumione łkanie wstrząsnęło te rycerskie piersi.
['L', 'G', 'LSW', 'GS', 'L', 'GLS']	Oto szczepienie będzie spóźnione, oto profesor będzie umierał w najstraszliwszych, w najdzikszych męczarniach.
['O', 'N', 'W', 'N', 'N', 'N']	Samem położeniem swem Borowce wszelkiego bliższego sąsiedztwa pozbawione były; stosunki więc ze szlachtą prawie nie istniały.
['G', 'N', 'N', 'G', 'LW', 'G']	Do samochodu powiedział.
['L', 'O', 'WZ', 'GLS', 'LW', 'SW']	„ Gospodarzu, a dyć spojrzyjcie, co oni ze mną wyrabiają, te Żydy...
['O', 'N', 'N', 'N', 'N', 'N']	Robią kobiałki, koszyki, przeplatając różnobarwną słomą dokładnie podług rysunku.
['G', 'O', 'WZ', 'GO', 'G', 'GW']	— Słuchaj — rzekł zniecierpliwiony tem do Fotofera, przybyłego w odwiedziny jednego poranku, jak to może być żebym ja się dał temu Włochowi pokonać i odszedł z niczem.
['U', 'R', 'U', 'R', 'N', 'OU']	— Moja miła przyjaciółko, zbawczyni mojego brata, utłucz trochę wanilii!
['R', 'G', 'R', 'RW', 'NO', 'G']	Zaprawdę, uciechę mi oni gotują: gdzie ujrzę zegar taki, będę go nakręcał mym szyderstwem; i warczeć mi oni przy tym jeszcze winni!
['O', 'N', 'N', 'U', 'O', 'U']	Może i nie rozwiódłby się ze mną, bo jestem przekonana, że nie potrafiłby żyć beze mnie.
['Z', 'N', 'N', 'N']	Niedobre są spółki.
['O', 'Z', 'Z', 'LS']	Nie słyszałeś o tym, który braterską krew jak Kain rozlewał?...
['U', 'N', 'Z', 'N']	Matka, karmiąc piersią swoje najmłodsze, ciągnie opowieść:
['L', 'N', 'Z', 'N']	Nikt inny nie zajrzał tam od dziesięciu lat.
['G', 'Z', 'Z', 'Z']	— Aa?!...
['W', 'Z', 'Z', 'Z']	Schomberg, zdumiony obrotem rozmowy, wyprostował się jeszcze bardziej z surową godnością, jak przystało na oficera rezerwy.
['Z', 'N', 'N', 'N']	— —
['W', 'G', 'L', 'W']	Nikt jej więcej nade mnie zalecać nie ma prawa.
['W', 'G', 'O', 'GW']	— Brać w kusze gorące jeszcze cegły, popiół i walić nimi na tych, co tam, na murach!
['S', 'L', 'L', 'L']	— Ba — rzekł Wołodyjowski — i żoniska muszą być niespokojne; na tę myśl sen odbiega.
['U', 'G', 'Z', 'Z']	Podkanclerzemu uczyć się u niego, jak układy prowadzić!
['R', 'O', 'O', 'U']	A kogoż my kochać i bronić będziem, jeżeli nie braci naszych, co są kością naszych kości i krwią naszej krwi?
['R', 'R', 'R', 'R']	— ozwał się Kim, parskając śmiechem, a oczy mu się zaświeciły.
['N', 'Z', 'Z', 'R']	Lecz uwolnienie moje zdarzyło się prędzej, niżelim się mógł spodziewać, a to sposobem osobliwszym, tak jak go wiernie opiszę ze wszystkimi tego cudownego zdarzenia okolicznościami.
['R', 'O', 'U', 'U']	— Starosta prosi pokornie miłości waszej, abyście nie zapominali, że ze krwi litewskiej idziecie, która od wieków panowała tym krajom.
['R', 'N', 'U', 'N']	Oczywiście, nie pójdzie, bo i co robiłaby, zresztą długość jej urlopu zależna jest od okresu nieobecności szefa.
['L', 'N', 'N', 'N']	Był to jeden z tych, co należeli do nocnej wyprawy.
['L', 'G', 'N', 'LZ']	Gdy smerda po przejściu burzy strasznej przystąpił do leżącego knezia, o mało go jeszcze wściekły Chwost nie przebił mieczem, zapomniawszy się, gdzie jest.
['L', 'N', 'N', 'N']	— Jestem...
['O', 'O', 'OR', 'S']	— Gotów nieboszczyk?...
['W', 'N', 'GW', 'G']	Gdybyśmy śmieli, wychowywalibyśmy młode dziewczęta wręcz jak niewolnice; dowodem tego jest, że z rzeczy użytecznych umieją jedynie to, czegośmy ich nie chcieli nauczyć.
['N', 'N', 'NU', 'N']	Naturalnie.
['N', 'N', 'N', 'N']	— panem dziedzicem Nawłoci z przyległościami.
['S', 'S', 'GS', 'S']	—... Odszedłeś od nas — wołały płaczki — nie ma cię, panie... osierociłeś nas biednych...
['N', 'N', 'O', 'N']	Staruszek jednak tylko kiwał głową.
['OU', 'N', 'NO', 'O']	Przeeeeedewszyyystkim trzeba piiilnować zbiorów.
['Z', 'W', 'NZ', 'Z']	Za duży to dla niej zaszczyt.
['O', 'N', 'O', 'N']	Sędzia dał znak służącemu, który wydobył z wielkiego worka dziesięć franków i dał je kobiecie, gdy sędzia zapisywał pożyczkę w rejestrze.
['Z', 'N', 'O', 'N']	Lampa na komodzie postawiona, pokój napełnia się wielkim tupotem nóg, trzech mężczyzn i dwie kobiety stół do sieni wynoszą.
['U', 'G', 'GO', 'G']	— A nie wypijcie tam całej piwnicy!
['S', 'U', 'S', 'O']	Gdybyż to był jej syn rodzony... albo córka rodzona...
['N', 'U', 'NU', 'U']	— Oto klucz od bramy, będzie pan mógł swobodnie wchodzić i wychodzić.
['Z', 'U', 'O', 'O']	— Właśnie o nią chciałam prosić, o moją córeczkę...
['O', 'G', 'OR', 'S']	Zobaczę, jak umoczą we krwi jego pasiastą koszulę i zaniósłszy ją ojcu powiedzą, że ukochany jego syn Józef został pożarty przez dzikie zwierzę.
['Z', 'N', 'Z', 'N', 'N', 'Z', 'R', 'N']	A jednak myślała jeszcze o zasiewach.
['OU', 'NO', 'Z', 'N', 'U', 'U', 'O', 'OU']	Rozkazał pracować i ochraniać od złego ile w mej mocy i oddać temu tylko, kto, oprócz urzędowej legitymacyi, przyniesie mi znak umówiony z przyjacielem.
['S', 'LO', 'L', 'OZ', 'Z', 'L', 'G', 'GOS']	Wszystko tajemnicze, że się nie można dowiedzieć.
['UZ', 'OWZ', 'N', 'Z', 'Z', 'LLNNOOORRSUUZZZ', 'Z', 'N']	Czyż pan nie wie, że przynajmniej raz na miesiąc Jagoda podaje się do dymisji.
['RZ', 'GLRZZ', 'Z', 'RZ', 'R', 'LNNNORSUWW', 'R', 'LSZ']	— Mój ojcze!
['LS', 'GNO', 'G', 'O', 'L', 'O', 'O', 'LO']	— spytałem go, kiedyśmy wyszli na ganek, — nie mając już siły powstrzymać tych słów, co od godziny prawie paliły mi wargi.
['N', 'NO', 'G', 'LZ', 'L', 'W', 'N', 'G']	Krzysztofowi wydało się, że w jego źrenicach błysnął złośliwy uśmiech.
['N', 'NO', 'O', 'N', 'N', 'N', 'N', 'N']	— spytał Watzdorf.
['R', 'NRZ', 'Z', 'OZ', 'R', 'R', 'R', 'ORUZ']	Zdumiony tym niezwykłym objawem uczucia, spojrzał na nią namiętnie; przy śniadaniu wydała mu się bardzo ładna; mimo że miał spuszczone oczy, cały czas rozbierał w myśli jej wdzięki.
['N', 'OR', 'O', 'LNO', 'R', 'O', 'O', 'O']	— Halo, dziewczynko!
['G', 'G', 'N', 'GO', 'G', 'GOW', 'G', 'G', 'G']	Nie gadajcie tyle, mówie, za dużo tej gadaniny: dobra kosa dla łąki, dobra bedzie i dla żyta.
['Z', 'N', 'L', 'N', 'Z', 'OZ', 'N', 'O', 'N']	I zamyślił się ponownie.
['O', 'S', 'O', 'O', 'O', 'U', 'O', 'N', 'OS']	Spodziewałam się, że go dostaniemy.
['G', 'N', 'N', 'G', 'N', 'Z', 'N', 'GW', 'G']	Ale nie mogąc się ognać zbereźnikom, które jako te wróble obsiadały sztachety, a śmielsze nawet już pod okna się przebierały, to jeno przygrażał księżym cybuchem a wyklinał.
['S', 'S', 'S', 'S', 'L', 'O', 'L', 'U', 'OS']	— Przychodzi do siebie — powiedziałem — ale bardzo osłabiony.
['G', 'G', 'Z', 'W', 'N', 'Z', 'G', 'Z', 'WZ']	Nie wiedzieć dlaczego, to, co innym wydawało się pochlebne i zaszczytne, ją drażniło i obrażało.
['U', 'W', 'L', 'N', 'U', 'N', 'G', 'S', 'N']	I po ukłonach, zamienionych z Połanieckim, rzekła zimnym, spokojnym głosem:
['L', 'L', 'LZ', 'S', 'G', 'W', 'N', 'W', 'LSZ']	Pełno krwi na was...
['G', 'G', 'Z', 'G', 'G', 'Z', 'U', 'G', 'OU']	Beetle, bierz go!
['G', 'R', 'R', 'R', 'U', 'R', 'R', 'R', 'N']	A oni krzyczą: „ Niech żyje ulica, niech żyje Pupek! ”.
['R', 'W', 'N', 'N', 'G', 'Z', 'N', 'N', 'N']	Grasz pa­nią Makbet.
['N', 'O', 'G', 'N', 'Z', 'N', 'O', 'N', 'N']	— zawołał, odchrząknąwszy po kilkakroć.
['O', 'U', 'N', 'G', 'L', 'N', 'N', 'N', 'N']	Stronnicy jej zwołali wiele poufnych zgromadzeń i publicznych wieców i wydali mnóstwo odezw i proklamacji.
['RU', 'O', 'Z', 'LSZ', 'G', 'Z']	A wówczas, co go mogło zatrzymać?
['S', 'S', 'N', 'LOS', 'O', 'N']	Hrabia August spójrzał na zégarek i westchnął, zbliżając się do gospodyni.
['SW', 'N', 'N', 'N', 'N', 'N']	Tutaj poprzywiązywano je do pali, ciągnących się nieprzerwanymi szeregami, zaciągnięto łańcuchy łącznikowe, obejmujące tylne nogi i zgromadzono przed słoniami całe góry paszy.
['N', 'N', 'N', 'N', 'N', 'N']	— Opisuję ci pusty kraj w Północnej Ameryce, nazywany Parkiem Narodowym.
['N', 'N', 'N', 'S', 'N', 'OZ']	— Panowie strasznie mocno wiązali...
['U', 'G', 'G', 'G', 'N', 'G']	Tu nie o łowach myśleć trzeba!
['GUW', 'G', 'G', 'G', 'W', 'W']	— Nie zapomniałam cię, drapichruście!
['OU', 'O', 'O', 'ORU', 'NO', 'U']	— Jeszcze, jeszcze trochę!
['N', 'W', 'G', 'G', 'N', 'O']	Żadna ręka tu się ku wam nie wyciągnie: sami z siebie wy dziś wszystko... sami.
['Z', 'N', 'G', 'S', 'N', 'W']	— Wart byłbym, aby utonąć, gdybym zasnął podczas burzy.
['L', 'R', 'L', 'N', 'NO', 'O']	— Jutro będzie tydzień.
['GWZ', 'Z', 'L', 'GSWZ', 'GZ', 'N']	Wówczas pojął, że go oszukano.
['W', 'W', 'W', 'W', 'W', 'N']	Twarz jego i broda były bladożółte, a ręce i odzienie zawalane bezecnym plugastwem.
['GW', 'Z', 'Z', 'L', 'Z', 'Z']	— Cóż takiego? co? na Boga! podnosząc się z siedzenia odezwała się wylękła Dobkowa.
['N', 'N', 'N', 'N', 'N', 'N']	Tuśka zdaje się spać.
['R', 'R', 'RZ', 'R', 'R', 'R']	— zawołał Tomek uradowany i pomyślał z niejakim zadowoleniem:
['OR', 'R', 'O', 'N', 'N', 'OR']	Naprawdę, wielką bym miał ochotę ubrać Formińskiego w kos­tium Iksa, a dla redaktora Panoramy Tygodnia.
['GWZ', 'W', 'WZ', 'W', 'GW', 'G']	To wstyd!
['U', 'U', 'OU', 'R', 'U', 'RU']	Bóg mu to dał, bo zasłużył; złota była to dusza, wszystkich dobrych ludzi kochał serdecznie, a twarz to miał taką, jak aniołek.
['O', 'Z', 'N', 'G', 'N', 'N']	— krzyknął w pełnym galopie podróżny na swego pachołka, który, rzuciwszy parę sztuk srebra pod nogi oberżysty, podążył za swoim panem.
['N', 'N', 'U', 'N', 'N', 'GR']	Wszak miałam prawo zrobić tak, jak zrobiłam.
['O', 'N', 'N', 'N', 'N', 'N']	Telegrafuję i tyle.
['N', 'N', 'N', 'N', 'S', 'N']	Niejeden, który w pewnych okolicznościach mógł-by być mądrym i zacnym, pod naciskiem społecznym staje się złym lub ciemnym, i wzajemnie.
['Z', 'Z', 'S', 'G', 'N', 'N']	Butelka jakaś leci na ścianę i pęka.
['N', 'N', 'N', 'N', 'N', 'N']	— odrzekli Kosma i Damian.
['O', 'R', 'N', 'R', 'O', 'N']	Lecz zanim je opowiem, chciałabym wiedzieć, czy w istocie między nami znajduje się najwspanialszy rycerz Don Kichot z Manchy i najznakomitszy jego giermek, Sancho Pansa?
['L', 'N', 'Z', 'N', 'N', 'N']	Różnica wieku, usposobień, warunków, w jakich wychowywałyśmy się, wszystko to nas dzieliło.
['OU', 'O', 'O', 'N', 'O', 'U']	Może zapalisz cygaro?
['LOU', 'R', 'O', 'R', 'OR', 'ORU']	Jakże rozkosznie byłoby usłyszeć wyznanie jego prawdziwych uczuć!
['L', 'W', 'U', 'S', 'G', 'N']	— Chciałem go tylko trochę popchnąć...
['N', 'N', 'N', 'N', 'N', 'N']	— dorzuciła prostując się i przybierając poważną proroczą postać cyganka, a dobierając słów, by dziewczynie głowę zawrócić.
['N', 'N', 'N', 'N', 'N', 'N']	Przed każdą stała miseczka z jarzynami, czarka z wodą, a obok leżała kromka chleba.
['GWZ', 'W', 'GZ', 'G', 'G', 'G']	Jać wam służę... a chcecie zbyć mnie psim swędem... niedoczekanie!
['Z', 'Z', 'Z', 'GS', 'GLS', 'SW']	Więc jest źle!
['OZ', 'Z', 'Z', 'OZ', 'Z', 'Z']	— Kto to?...
['N', 'N', 'N', 'N', 'N', 'N']	Grzegorz podszedł do króla.
['Z', 'GLZ', 'S', 'S', 'O', 'Z']	„ Do licha, czyżbym ją obraził?...
['N', 'N', 'O', 'O', 'W', 'NO']	Co on ci mówił?
['S', 'S', 'SW', 'S', 'Z', 'LS']	Było to posępne i tragiczne, i prawdziwe!
['N', 'N', 'N', 'N', 'U', 'N']	Na ścianach błyszczały miedziane brytfanny.
['N', 'N', 'O', 'N', 'W', 'N']	Przypominam coś sobie, że ten Foriot...
['S', 'S', 'S', 'S', 'S', 'S']	Szkoda, że mojej żony niema...
['N', 'N', 'OS', 'N', 'G', 'N']	Ja nad Włoszkami żadnej mocy nie mam, a z królową też niewiele poufałości.
['N', 'O', 'RU', 'O', 'N', 'N']	Nie po to idzie się w góry, żeby się wysypiać.
['N', 'O', 'L', 'L', 'N', 'O']	— Być może, i nie jest dowiedzione, czy to nie byłaby nieostrożność.
['N', 'S', 'O', 'S', 'N', 'S']	Nie, przez delikatność, którą ona w nim rozwinęła, zastrzelił się o kilka grobów dalej.
['Z', 'O', 'U', 'L', 'N', 'N']	Opamiętali się uciekający.
['N', 'O', 'O', 'N', 'N', 'N']	Za tronem dwa białe konie ze źrebięciem szykowały się do drogi.
['Z', 'OZ', 'LS', 'Z', 'G', 'GWZ']	Jeszcze ci nie dosyć?
['N', 'N', 'S', 'N', 'N', 'S']	— spytał Jakub z cicha, odchodząc.
['O', 'O', 'N', 'N', 'N', 'L']	Student namyślał się chwilę.
['U', 'OU', 'U', 'U', 'U', 'U']	— Bądź pani spokojna — rzecze Don Kichot — nie powiem nic już więcej i nie wmieszam się do niczego, dopóki nie dopełnię swojej obietnicy.
['Z', 'U', 'RU', 'Z', 'U', 'G']	O, bo to mądre stworzenia! one zaraz przeczują złego człowieka.
['WZ', 'W', 'W', 'S', 'OZ']	— Iii... może jaka obca...
['N', 'O', 'N', 'O']	— Co robi Eugenia?
['G', 'G', 'Z', 'N']	— Zamykamy!
['S', 'SU', 'S', 'U']	To była dobra kobieta.
['G', 'G', 'O', 'Z']	Albo te Michałki wyfraczone umieją się bawić, myślisz?
['N', 'R', 'R', 'N']	— zanucił Filip.
['R', 'R', 'R', 'R']	Rad był z wyjazdu Kmicica.
['L', 'Z', 'W', 'GOW']	Podstępnie gościnności twej...
['Z', 'U', 'Z', 'O']	Katarzyna otwarła oczy i zaczęła się uważnie przyglądać córce.
['N', 'N', 'S', 'LS']	Co do położenia Szybowa nie zwyciężył, bo pani Hana, gdyby nawet najmocniej postanawiała z należytym uszanowaniem zostawać względem miejsca pobytu swego, nie potrafiłaby tego dokonać.
['N', 'L', 'N', 'N']	Niebawem zjawił się lekarz, którego sprowadzili Cyganie znajdujący się w izbie noclegowej.
['U', 'U', 'U', 'Z']	— Może masz rację, mój chłopcze.
['S', 'N', 'N', 'N']	Żyruń...
['S', 'N', 'S', 'LO']	— deklamowała przyciszonym, rozemdlonym głosem.
['R', 'R', 'R', 'R']	Pomimo całej biedy, jaka nawiedziła dżunglę, zwierzęta — nie wyłączając Hathiego — nie mogły powstrzymać się od rzęsistego śmiechu, posłyszawszy te słowa.
['N', 'N', 'O', 'NO']	W oddaleniu rzędem idące pokoje pełne były zajętych kancellistów przy pulpitach i stołach... ów pierwszy komissant Teperów, w bardzo starannie ułożonej peruce, w pończochach i trzewikach, z batystową chusteczką zatkniętą za kamizelkę, przestępował z nogi na nogę, patrzał w okno, spoglądał na zegarek, tupał niekiedy niecierpliwemi nogami; maczał pióro i na końcu jego przeciw światła szukał włosa, kładł je i brał znowu... ale ostatecznie nie robił nic...
['L', 'L', 'LZ', 'GS']	Ty nie wiesz — mówiła księżna po cichu — ja się go bardzo boję!
['O', 'Z', 'Z', 'Z']	Ale w jakim celu?
['N', 'Z', 'Z', 'N', 'N']	Zabierając kozy starego Halnego Dziadka, widział i jego i Heidi, ale ruszył dalej i w południe dopiero, wygarniając z plecaka resztki okruszyn znalazł list.
